"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"26","15000 SUNFLOWER DR",0.02,0.03,0.04,0.06,0.1,0.2,0.27,0.36,0.46,0.57,0.2,0.27,0.36,0.46,0.57,"Byberry","-74.9905686640845","40.1170026437849",c(-74.9905686640845, 40.1170026437849)
"27","15050 SUNFLOWER DR",0.02,0.03,0.04,0.07,0.1,0.19,0.26,0.35,0.45,0.55,0.19,0.26,0.35,0.45,0.55,"Byberry","-74.9889806721859","40.1189463905419",c(-74.9889806721859, 40.1189463905419)
"28","15027 DAHLIA DR",0.02,0.03,0.05,0.07,0.11,0.2,0.28,0.37,0.48,0.58,0.2,0.28,0.37,0.48,0.58,"Byberry","-74.9900287605293","40.1184689396825",c(-74.9900287605293, 40.1184689396825)
"29","15074 DAHLIA DR",0.02,0.03,0.05,0.07,0.11,0.2,0.28,0.37,0.47,0.57,0.2,0.28,0.37,0.47,0.57,"Byberry","-74.9891986640855","40.1202128829073",c(-74.9891986640855, 40.1202128829073)
"30","15073 SUNFLOWER DR",0.02,0.03,0.04,0.06,0.09,0.17,0.24,0.33,0.43,0.53,0.17,0.24,0.33,0.43,0.53,"Byberry","-74.9878838476783","40.1191240040743",c(-74.9878838476783, 40.1191240040743)
"31","15119 SUNFLOWER DR",0.02,0.03,0.04,0.06,0.1,0.2,0.28,0.37,0.47,0.57,0.2,0.28,0.37,0.47,0.57,"Byberry","-74.986100479438","40.1204837989299",c(-74.986100479438, 40.1204837989299)
"32","15056 DAHLIA DR",0.02,0.03,0.05,0.07,0.11,0.2,0.28,0.37,0.47,0.57,0.2,0.28,0.37,0.47,0.57,"Byberry","-74.9897898241058","40.1196237601263",c(-74.9897898241058, 40.1196237601263)
"33","15009 DAHLIA DR",0.02,0.03,0.05,0.07,0.11,0.2,0.28,0.37,0.48,0.58,0.2,0.28,0.37,0.48,0.58,"Byberry","-74.990660370554","40.1178530940924",c(-74.990660370554, 40.1178530940924)
"34","13076 TOWNSEND RD",0.03,0.04,0.06,0.09,0.14,0.12,0.17,0.23,0.32,0.41,0.12,0.17,0.23,0.32,0.41,"Byberry","-74.9775305511484","40.1085863794751",c(-74.9775305511484, 40.1085863794751)
"35","15060 SUNFLOWER DR",0.02,0.03,0.04,0.06,0.1,0.19,0.26,0.35,0.45,0.55,0.19,0.26,0.35,0.45,0.55,"Byberry","-74.9885448085149","40.1190595062036",c(-74.9885448085149, 40.1190595062036)
