"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"22","3702 NANTON PL",0.01,0.02,0.03,0.05,0.08,0.3,0.39,0.49,0.6,0.69,0.3,0.39,0.49,0.6,0.69,"Parkwood Manor","-74.9688719389797","40.0910710703769",c(-74.9688719389797, 40.0910710703769)
"23","12609 CHILTON RD",0.02,0.03,0.04,0.06,0.09,0.17,0.24,0.32,0.42,0.52,0.17,0.24,0.32,0.42,0.52,"Parkwood Manor","-74.9726628212144","40.1006284544659",c(-74.9726628212144, 40.1006284544659)
"24","12523 RAMER RD",0.02,0.02,0.04,0.06,0.09,0.19,0.26,0.35,0.45,0.56,0.19,0.26,0.35,0.45,0.56,"Parkwood Manor","-74.9713101048963","40.0972653842788",c(-74.9713101048963, 40.0972653842788)
"25","3131 BYBERRY RD",0.02,0.03,0.05,0.08,0.12,0.19,0.26,0.35,0.45,0.55,0.19,0.26,0.35,0.45,0.55,"Parkwood Manor","-74.9789444341942","40.100284253231",c(-74.9789444341942, 40.100284253231)
"26","12513 CHILTON RD",0.03,0.05,0.07,0.11,0.17,0.19,0.26,0.35,0.45,0.55,0.19,0.26,0.35,0.45,0.55,"Parkwood Manor","-74.9744566422547","40.1021239110592",c(-74.9744566422547, 40.1021239110592)
"27","3732 GENESEE DR",0.02,0.03,0.04,0.07,0.1,0.2,0.28,0.37,0.47,0.58,0.2,0.28,0.37,0.47,0.58,"Parkwood Manor","-74.9688624915967","40.0921098860364",c(-74.9688624915967, 40.0921098860364)
"28","3316 MORNING GLORY RD",0.02,0.03,0.05,0.08,0.11,0.17,0.24,0.32,0.42,0.52,0.17,0.24,0.32,0.42,0.52,"Parkwood Manor","-74.9786755782077","40.097070812772",c(-74.9786755782077, 40.097070812772)
"29","12120 RANIER RD",0.02,0.04,0.06,0.09,0.13,0.23,0.31,0.4,0.51,0.61,0.23,0.31,0.4,0.51,0.61,"Parkwood Manor","-74.9799307908015","40.0961663017057",c(-74.9799307908015, 40.0961663017057)
"30","3084 SECANE DR",0.02,0.03,0.05,0.07,0.11,0.17,0.24,0.32,0.42,0.52,0.17,0.24,0.32,0.42,0.52,"Parkwood Manor","-74.9785551321993","40.1028358055376",c(-74.9785551321993, 40.1028358055376)
"31","3634 ACADEMY RD",0.01,0.02,0.03,0.04,0.07,0.28,0.38,0.48,0.58,0.68,0.28,0.38,0.48,0.58,0.68,"Parkwood Manor","-74.9691480214421","40.0947451896651",c(-74.9691480214421, 40.0947451896651)
"32","3209 BYBERRY RD",0.02,0.03,0.04,0.06,0.09,0.17,0.24,0.32,0.42,0.52,0.17,0.24,0.32,0.42,0.52,"Parkwood Manor","-74.9776591186088","40.0989440764878",c(-74.9776591186088, 40.0989440764878)
"33","12420 MEDFORD RD",0.02,0.03,0.05,0.08,0.12,0.14,0.19,0.27,0.36,0.46,0.14,0.19,0.27,0.36,0.46,"Parkwood Manor","-74.975180849058","40.098874561184",c(-74.975180849058, 40.098874561184)
"34","12135 ACADEMY RD",0.04,0.06,0.09,0.14,0.21,0.17,0.23,0.32,0.41,0.52,0.17,0.23,0.32,0.41,0.52,"Parkwood Manor","-74.9778625386525","40.0946070681651",c(-74.9778625386525, 40.0946070681651)
