"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"23","6025 LINDBERGH BLVD",0.03,0.05,0.08,0.12,0.17,0.13,0.19,0.26,0.35,0.45,0.13,0.19,0.26,0.35,0.45,"Elmwood","-75.22221889631","39.924391130966",c(-75.22221889631, 39.924391130966)
"24","2616 S DEWEY ST",0.05,0.07,0.11,0.16,0.23,0.1,0.15,0.21,0.28,0.37,0.1,0.15,0.21,0.28,0.37,"Elmwood","-75.223682585243","39.9240632103541",c(-75.223682585243, 39.9240632103541)
"25","2511 S 73RD ST",0.05,0.07,0.11,0.16,0.23,0.12,0.17,0.24,0.32,0.42,0.12,0.17,0.24,0.32,0.42,"Elmwood","-75.2412177672942","39.9140348127677",c(-75.2412177672942, 39.9140348127677)
"26","6444 CHELWYNDE AVE",0.03,0.05,0.08,0.12,0.18,0.12,0.18,0.25,0.33,0.43,0.12,0.18,0.25,0.33,0.43,"Elmwood","-75.227696474784","39.9202797677862",c(-75.227696474784, 39.9202797677862)
"27","6816 GREBE PL",0.03,0.05,0.07,0.11,0.16,0.13,0.18,0.25,0.34,0.44,0.13,0.18,0.25,0.34,0.44,"Elmwood","-75.2284129697745","39.913443149564",c(-75.2284129697745, 39.913443149564)
"28","2422 S MILLICK ST",0.05,0.08,0.12,0.17,0.25,0.1,0.15,0.21,0.28,0.37,0.1,0.15,0.21,0.28,0.37,"Elmwood","-75.225347276905","39.9270751513718",c(-75.225347276905, 39.9270751513718)
"29","2552 S 67TH ST",0.05,0.08,0.12,0.17,0.25,0.08,0.12,0.18,0.24,0.33,0.08,0.12,0.18,0.24,0.33,"Elmwood","-75.2319459987731","39.9193173258512",c(-75.2319459987731, 39.9193173258512)
"30","2606 MUHLFELD ST",0.05,0.08,0.12,0.18,0.25,0.12,0.17,0.24,0.32,0.42,0.12,0.17,0.24,0.32,0.42,"Elmwood","-75.2369776304396","39.9149868216174",c(-75.2369776304396, 39.9149868216174)
"31","7023 REEDLAND ST",0.03,0.05,0.08,0.12,0.18,0.14,0.2,0.27,0.36,0.46,0.14,0.2,0.27,0.36,0.46,"Elmwood","-75.2386446728585","39.9173226736544",c(-75.2386446728585, 39.9173226736544)
"32","6501 GUYER AVE",0.05,0.08,0.12,0.17,0.25,0.1,0.14,0.2,0.27,0.36,0.1,0.14,0.2,0.27,0.36,"Elmwood","-75.2272924213619","39.9194566973296",c(-75.2272924213619, 39.9194566973296)
"33","6506 REEDLAND ST",0.03,0.05,0.08,0.12,0.18,0.1,0.15,0.21,0.29,0.38,0.1,0.15,0.21,0.29,0.38,"Elmwood","-75.2309317340272","39.9223472357168",c(-75.2309317340272, 39.9223472357168)
"34","6729 GUYER AVE",0.05,0.07,0.11,0.17,0.24,0.08,0.12,0.17,0.24,0.33,0.08,0.12,0.17,0.24,0.33,"Elmwood","-75.230476294811","39.9172520844199",c(-75.230476294811, 39.9172520844199)
"35","6310 THEODORE ST",0.04,0.06,0.1,0.15,0.21,0.1,0.14,0.2,0.28,0.37,0.1,0.14,0.2,0.28,0.37,"Elmwood","-75.2269448809818","39.9229490749983",c(-75.2269448809818, 39.9229490749983)
"36","6404 GARMAN ST",0.05,0.07,0.11,0.16,0.23,0.1,0.14,0.2,0.28,0.37,0.1,0.14,0.2,0.28,0.37,"Elmwood","-75.2272951131088","39.921236526841",c(-75.2272951131088, 39.921236526841)
